Transcript	logFC	logCPM	LR	PValue	FDR	Annotation			
EMLSAT00000002841	2.49730382856987	5.2330870611262	54.2962696801236	1.72428841897812e-13	1.30107111868811e-09	acetylcholinesterase 1A			
EMLSAT00000004501	-1.90707233672645	4.01361669482299	53.5335453669751	2.54214755507641e-13	1.30107111868811e-09	serine protease 27like			
EMLSAT00000000446	-1.25523614879224	6.51711240221595	38.7348476787853	4.85464158901327e-10	1.65640371017133e-06	Cytochrome b-c1 complex subunit 8			
EMLSAT00000000419	1.87536201364662	3.80247677079499	36.9809089845395	1.19291553506621e-09	3.05267085423444e-06	hypothetical protein			
EMLSAT00000000792	-3.39854343814462	2.77986693039923	35.1880120826665	2.99360674275841e-09	6.12851172377502e-06	putative: histone-lysine N-methyltransferase SETMAR			
EMLSAT00000002296	-1.7929066656785	2.73333959866022	31.5296618662239	1.96416850457843e-08	3.35087146881081e-05	PREDICTED: zinc finger BED domain-containing protein 5-like			
EMLSAT00000002393	5.27436669921599	0.750903206663562	30.094420623012	4.11513458304833e-08	6.01750251315467e-05	putative protein, similar to XP_002016398.1			
EMLSAT00000012960	3.27856756766913	7.88700829597448	26.4347917802594	2.72586174454192e-07	0.000335146223769995	vitellogenin 1			
EMLSAT00000011195	5.25479316054505	0.7258580428584	26.2842818775187	2.94677219024028e-07	0.000335146223769995	female cement gland secreted			
EMLSAT00000011734	-1.70078671712414	3.52175781771738	24.8687262309915	6.13699789948945e-07	0.000593453421983692	thiamine transporter 2like			
EMLSAT00000006486	1.12512538200332	4.75665710084233	24.7418611219477	6.55449938720433e-07	0.000593453421983692	microtubule-associated protein futsch-like			
EMLSAT00000002839	1.54036778339838	2.65086189146128	24.6269343134898	6.95724996463883e-07	0.000593453421983692	opsin Rh4like			
EMLSAT00000005974	-1.54346045661815	3.66075199945487	24.2728131489009	8.36108928879832e-07	0.000658339307385689	putative protein			
EMLSAT00000012765	2.04485622937828	6.09680295185675	23.5600274583714	1.21076790550048e-06	0.000885244305764493	embryo cathepsin L-associated protein			
EMLSAT00000005849	-1.12224455640388	6.49673189539113	23.3019393290287	1.38460325479104e-06	0.000944853261069409	biotin--protein ligase-like			
EMLSAT00000008097	-2.31853990716809	3.45250248438843	22.5500851934466	2.04735452413071e-06	0.00130979505681262	Transcription factor Adf-1			
EMLSAT00000011006	1.69827299998495	2.24229755018466	21.9691196138237	2.77072805615294e-06	0.00146546707121341	synaptotagmin 1			
EMLSAT00000005850	-1.02290389158963	5.78225924646211	21.8534381876689	2.94288816135907e-06	0.00146546707121341	cytochrome c oxidase subunit 7C			
EMLSAT00000012390	-1.40136917942248	2.91419509108999	21.8530687853973	2.94345476306292e-06	0.00146546707121341	Transmembrane protein 167A			
EMLSAT00000007408	1.469761973302	2.01193896687772	21.8374336920618	2.96753702089504e-06	0.00146546707121341	vesicular glutamate transporter 1-like			
EMLSAT00000004670	-3.73592452089444	-0.0163883053533581	21.8123879910789	3.00652681667465e-06	0.00146546707121341	No hits			
EMLSAT00000004206	3.00269357657233	-0.950013548768927	21.3003241423398	3.92665096038644e-06	0.0017761836810792	hypothetical protein			
EMLSAT00000001498	-2.87645795495736	0.0257999971319911	20.986089535706	4.62630197604948e-06	0.0018941930810737	putative LOC100161421 			
EMLSAT00000003042	3.83024885235201	-1.10720758628066	19.7216002900518	8.95830692508959e-06	0.00339619369204508	proresilinlike			
EMLSAT00000002302	-4.4221799072433	0.010343686244461	19.421195977323	1.04837052716513e-05	0.00383254311287939	hypothetical protein			
EMLSAT00000005195	-2.80544058773148	-0.816151418664998	18.3261241885619	1.86137098857078e-05	0.00656999773758983	cathepsin L1 precursor			
EMLSAT00000010135	1.29681944966161	2.54611891262361	17.4712524529431	2.91685111986922e-05	0.00963125421386495	putative LOC100904950			
									
									
